icon_id,subject_term,category,creator_name,source_book,source_chapter,source_text
icon_141c03f7,寫真,Portrait,李文才,《益州名画录》,卷中·妙格下品,"李文才者, 華陽 人也。 攻畫人物、屋木、山水, 善寫真, 罕及, 周昉 之亞 也。 蜀廣政中, 荊南高太王 令邸務 丁晏入蜀, 請文才寫興義門 兩雙石笋, 兼徵 其故實, 將歸本道。 文才告 道士範德昭: “皆云真珠 樓基, 或云是海眼, 未審孰是?” 德昭曰: “吾聞諸至人, 斯乃蠶叢 啟國 鎮蜀之碑, 中以鐵柱貫 之, 下以橫石相連, 埋於地際。上有文字, 言歲時豐儉、兵革 水火之事。諸葛 曾掘驗之, 真珠樓基、海眼皆非也。” 蜀人少知, 云出《圓方記》, 未詳。 廣政末, 主置真堂大聖慈寺華嚴閣後, 命文才寫諸親 王文武臣僚等真。 授翰林待詔、將仕郎、試太子司議郎, 賜緋魚袋。 畫未畢, 聖朝吊伐, 盡已除毀。 三學院經樓 下《西天三藏 真》《定惠國師真》, 華嚴閣迎廊下《奉聖國師真》, 應天寺《無智禪師真》, 并文才筆, 見存。"
icon_5731bb52,少主真,Portrait,阮知誨,《益州名画录》,卷中·妙格下品,"阮知誨者, 成都人也。攻畫女郎, 筆蹤妍麗, 及 善寫真。王氏乾德年, 寫《少主真》於大聖慈寺三學院經樓下。孟氏明德年, 寫《先主真》於三學院真堂內, 寫《福慶公主 真》《玉清公主真》於內庭 。知誨兩朝多寫皇姑帝戚, 渥澤纍遷, 授翰林待詔、銀青光祿大夫 、檢校尚書左僕射, 兼御史大夫 、上柱國。"
icon_32e92522,先主真,Portrait,阮知誨,《益州名画录》,卷中·妙格下品,"阮知誨者, 成都人也。攻畫女郎, 筆蹤妍麗, 及 善寫真。王氏乾德年, 寫《少主真》於大聖慈寺三學院經樓下。孟氏明德年, 寫《先主真》於三學院真堂內, 寫《福慶公主 真》《玉清公主真》於內庭 。知誨兩朝多寫皇姑帝戚, 渥澤纍遷, 授翰林待詔、銀青光祿大夫 、檢校尚書左僕射, 兼御史大夫 、上柱國。"
icon_785f76c8,寫真,Portrait,阮知誨,《益州名画录》,卷中·妙格下品,"阮知誨者, 成都人也。攻畫女郎, 筆蹤妍麗, 及 善寫真。王氏乾德年, 寫《少主真》於大聖慈寺三學院經樓下。孟氏明德年, 寫《先主真》於三學院真堂內, 寫《福慶公主 真》《玉清公主真》於內庭 。知誨兩朝多寫皇姑帝戚, 渥澤纍遷, 授翰林待詔、銀青光祿大夫 、檢校尚書左僕射, 兼御史大夫 、上柱國。"
icon_25e1bca0,自漢至唐治蜀君臣像,Portrait,張玫,《益州名画录》,卷中·妙格下品,"張玫, 成都人也。父授蜀翰林寫貌待詔, 賜緋。玫有超父之藝, 尤精寫貌及畫婦人, 鉛華 姿態, 綽有餘妍, 議者比之張萱 之儔 也。孟先主明德年, 於大聖慈寺三學院置真堂, 玫曾與故東川 董太尉（璋） 寫真, 先主惡之, 不為寫己。乃命阮知誨獨寫己真, 文武臣僚, 玫之筆也。（今并塗抹, 無畫蹤矣。）授翰林待詔, 賜紫金魚袋。玫有《自漢至唐治蜀君臣像》三卷。"
icon_5fc7732c,天王部屬諸神,Religious Figure,呂嶤,《益州名画录》,卷中·能格上品,"唐翰林待詔, 自京隨僖宗皇帝車駕至蜀, 授將佐 郎、守漢州雒縣 主簿, 賜緋魚袋。今大聖慈寺華嚴閣上 《天王部屬諸神》及《王 波利真》, 并嶤之筆, 見存。"
icon_28ed30fb,王 波利真,Portrait,呂嶤,《益州名画录》,卷中·能格上品,"唐翰林待詔, 自京隨僖宗皇帝車駕至蜀, 授將佐 郎、守漢州雒縣 主簿, 賜緋魚袋。今大聖慈寺華嚴閣上 《天王部屬諸神》及《王 波利真》, 并嶤之筆, 見存。"
icon_345d4927,天花瑞像,Bird-and-Flower,竹虔,《益州名画录》,卷中·能格上品,"竹虔者, 雍京人也。攻畫人物佛像。聞成都創起大聖慈寺, 欲將吳道玄《地獄變相》於寺畫焉。廣明年 隨駕到蜀, 左全已在多寶塔下畫竟 , 遂於 華嚴閣下後壁西畔畫丈六《天花瑞像》一堵。"
icon_77eba07a,畫人物佛像,Religious Figure,竹虔,《益州名画录》,卷中·能格上品,"竹虔者, 雍京人也。攻畫人物佛像。聞成都創起大聖慈寺, 欲將吳道玄《地獄變相》於寺畫焉。廣明年 隨駕到蜀, 左全已在多寶塔下畫竟 , 遂於 華嚴閣下後壁西畔畫丈六《天花瑞像》一堵。"
icon_202891ef,李陵送蘇武圖,Painting (General),周行通,《益州名画录》,卷中·能格上品,"攻畫人物鬼神、蕃馬戎服 、器械氊帳、鷹犬羊雁之類, 及川原放牧, 盡得其妍。有《李陵送蘇武圖》 《奪馬圖》《三困圖》 《射鵰圖》《陰山七騎圖》 , 蜀人皆傳周胡蕃馬為妙, 行通多髯故也。"
