work_id,title,creator_ref,period_ref,icon_ref,status,support,dimensions,repository,source_book,source_chapter,source_text
work_94610171,晉本紀寺壁画,史道碩,Jin,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 晉本紀寺（史道碩畫，在郯中）
work_71fc00fa,齊王觀寺壁画,沈標,Southern Qi,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 齊王觀寺（沈標畫，在會稽）
work_b7bd002f,魏白雀寺壁画,董伯仁,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 魏白雀寺（董伯仁畫，在汝州）
work_247a7df3,魏北宣寺壁画,楊子華,Northern Qi,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 魏北宣寺（楊子華畫，在鄴中）
work_8a1105a5,梁定林寺壁画,解倩,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁定林寺（解倩畫，在江寧）
work_c3b987b0,梁惠聚寺壁画,張僧繇,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁惠聚寺（張僧繇畫，在江陵）
work_012c96ca,梁延祚寺壁画,張僧繇,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁延祚寺（張僧繇畫，在江陵）
work_60cc3875,梁長慶寺壁画,江僧寶,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁長慶寺（江僧寶畫，在江陵）
work_1c0d328c,梁何後寺壁画,陸整,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁何後寺（陸整畫，在江寧）
work_124afc4d,梁光相寺壁画,丁光,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁光相寺（丁光畫，在江陵）
work_3afe9518,梁陟屺寺壁画,張善果,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁陟屺寺（張善果畫，在江陵）
work_f13d7b4c,梁高座寺壁画,張僧繇,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁高座寺（張僧繇畫，在江寧）
work_090861df,梁景公寺壁画,江僧寶,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁景公寺（江僧寶畫，在江寧）
work_2a985c7e,梁開善寺壁画,張僧繇,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁開善寺（張僧繇畫，在江寧）
work_832572d7,梁草堂寺壁画,焦寶顥,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁草堂寺（焦寶顥畫，在江寧）
work_26481568,梁報恩寺壁画,張儒童,Chen,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁報恩寺（張儒童畫，在會稽）
work_9a50d9ee,梁資德寺壁画,解倩,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁資德寺（解倩畫，在延陵）
work_0705b3da,梁天皇寺壁画,張僧繇、解倩,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 梁天皇寺（張僧繇、解倩畫，在江陵）
work_2d42f41a,北齊大定寺壁画,劉殺鬼,Northern Qi,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 北齊大定寺（劉殺鬼畫，在鄴中）
work_35427296,周海覺寺壁画,董伯仁、鄭法士,Northern Zhou,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 周海覺寺（董伯仁、鄭法士畫，在固州）
work_ea193835,陳棲霞寺壁画,張善果,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳棲霞寺（張善果畫，在江寧）
work_90891b86,陳興聖寺壁画,張儒童,Chen,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳興聖寺（張儒童畫，在江都）
work_f50eda85,陳逮善寺壁画,陸整,Liang,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳逮善寺（陸整畫，在江都）
work_9560d3d5,陳靜樂寺壁画,張善果,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳靜樂寺（張善果畫，在江都）
work_96176bd9,陳東安寺壁画,張儒童、展子虔,Chen,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳東安寺（張儒童、展子虔畫，在江都，改為常樂寺）
work_42731a3f,陳終聖寺壁画,董伯仁,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 陳終聖寺（董伯仁畫，在江陵）
work_0ea50884,隋西禪寺壁画,孫尚子,Sui,Religious,Lost,Wall,,,《贞观公私画史》,卷一·寺观画壁,* 隋西禪寺（孫尚子畫，在長安）
