lit_id,target_ref,target_type,source_book,source_chapter,author_ref,quality_rank,quote,source_text,literature_ref,evaluation_type
lit_35582cf6,董威輦詩圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_63227514,嵇阮像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_2cdb966a,十九首詩圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_49d548a9,五天羅漢像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_7e7d995d,黑獅子圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_36436da5,名马圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十一卷，戴逵畫，隋朝官。本（此下脫）,右十一卷，戴逵畫，隋朝官。本（此下脫）,《贞观公私画史》,Catalog/Authentication
lit_66d387e3,列仙圖,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,上五卷，《梁太清目》所有,列仙圖（上五卷，《梁太清目》所有）,《梁太清目》,Recorded
lit_d1433d53,桓玄像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_49d894a2,列仙圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_44ce1488,唐僧會像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_815671ac,沅湘像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_dab10b3b,三天女像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_2fab0762,八國分舍利圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_8da2662f,木雁圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_3d6002f5,水府圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_228674fb,廬山圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_0d36989b,樗蒲會圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_ee9c5cd7,行龍圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_b17dafb4,虎嘯圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_185879cc,虎豹雜鷙圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_9fe3ec9a,鳧雁水洋圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十七卷，顧愷之畫，九卷隋朝官本 。,右十七卷，顧愷之畫，九卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_53222cf7,豫章王像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,《贞观公私画史》,Catalog/Authentication
lit_4cb7f9b3,褚淵袁粲像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,《贞观公私画史》,Catalog/Authentication
lit_f47b75a7,張興像,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,《贞观公私画史》,Catalog/Authentication
lit_45cc6d50,越中風俗圖二卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,《贞观公私画史》,Catalog/Authentication
lit_9c30eab5,高麗鬥鴨圖一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,右十三卷，顧寶光畫，隋朝官本 。（張彥遠《名畫記》又有《鬥雞圖》）,《贞观公私画史》,Catalog/Authentication
lit_566f2f6c,夷子蠻獸樣一卷,Work,《贞观公私画史》,第一卷画目,裴孝源,著录,已上五卷皆《太清目》中所無,夷子蠻獸樣一卷（已上五卷皆《太清目》中所無）,《贞观公私画史》,Not Recorded
lit_b0ea2060,龍頭樣四卷四頭,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，曹不興畫，二卷隋朝官本 。,右五卷，曹不興畫，二卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
lit_d9e465b3,青溪側坐亦龍盤赤龍圖二卷南海監牧進十種馬圖,Work,《贞观公私画史》,第一卷画目,裴孝源,真迹,右五卷，曹不興畫，二卷隋朝官本 。,右五卷，曹不興畫，二卷隋朝官本 。,《贞观公私画史》,Catalog/Authentication
